route,year,field5,n,mean_pct,median_pct,max_pct,median_dist_m,median_bearing,frame_steps
82-24,2023,0014,6,53.39259814420988,53.40078132825804,53.56194783716253,562.5055555281209,0.25464623227287575,[1]
82-24,2023,0016,2,53.30328638497652,53.30328638497652,53.30328638497652,560.0002232142413,0.05115693239980601,[1]
82-24,2023,0017,3,52.96577387901874,52.96577387901874,53.1422055432165,559.5010062593693,180.07687250714952,[1]
83-25,2021,0014,4,19.668922585794874,6.0453564542285445,52.961411303156076,667.0016866545392,358.9749914512997,"[1, 2, 930]"
83-25,2021,0015,6,12.17565191395614,18.1104142565181,18.817708253299937,338.01331334727035,179.31590379885802,"[1, 2, 1092]"
83-25,2021,0016,4,21.461344033951537,5.734724678334045,53.08988764044944,672.0150667953808,180.38367136013864,"[1, 2]"
83-25,2021,0017,8,18.918293211696078,18.96711050912626,19.236075525247347,336.0535671585707,0.8563753785454651,[1]
83-25,2021,0018,8,19.25119157993974,19.25964728479134,19.46503404924044,334.5059790198077,180.34155052655703,[1]
83-25,2021,0022,9,52.62110792841981,52.62050599225641,52.80898876404494,336.75241207160906,180.1275131414468,[1]
83-25,2021,0023,13,52.92681155713455,52.9130125772594,53.264499992374446,336.01264838611036,359.74268478686747,[1]
83-25,2021,0024,15,52.9528899048728,52.938952350450165,53.212290502793294,336.00334819760354,179.7865926498054,[1]
83-25,2021,0025,11,47.61523596952386,52.86263789100952,53.28671328671329,336.0024181447732,0.3400942250503647,"[1, 4]"
83-25,2021,0026,12,52.864865694127595,53.05555555555556,53.294878008962506,336.0133925902359,179.40140915745792,[1]
83-25,2021,0027,12,53.0234881524483,52.92479108635097,53.41028930827188,336.5237733058395,180.0,[1]
83-26,2021,0012,9,16.712953839152064,13.49268514418186,52.92537036846386,496.03716208626986,180.13228114277797,"[1, 2]"
83-26,2021,0013,10,14.26341974318725,20.149126451358974,20.377067918469915,331.03776219639957,180.25770041900023,"[1, 2]"
83-26,2021,0014,8,12.03453448697836,7.821785701576457,20.85657995676128,655.5001906940989,359.7407448484986,"[1, 2]"
83-31,2021,0039,3,8.898635477582847,8.898635477582847,8.908382066276802,622.7545151491925,359.79301882517655,"[6, 46]"
83-31,2021,0040,4,14.99444121687993,22.339390006489293,22.643933644150493,311.50642047957854,0.3690498366783572,"[3, 6]"
83-31,2021,0041,3,9.176839957925605,9.176839957925605,9.312466133299333,622.0040244511174,179.81562174172308,"[6, 46]"
83-31,2021,0042,4,9.458723890816747,9.166925930357785,10.333333333333334,622.0098471889332,0.32240050129337305,[6]
83-31,2021,0043,5,28.33779266354587,22.693266832917708,58.35411471321696,310.2502019384789,180.0461690007325,"[3, 6]"
83-34,2021,0012,6,50.73116883116883,50.57597402597403,51.90584415584416,345.0130432317016,179.50178838738634,[1]
83-34,2021,0013,4,34.52116883116883,50.81090909090909,52.04805194805195,344.00145348530145,0.34206029135850713,"[1, 2]"
83-34,2021,0014,6,51.116701298701294,51.19246753246753,51.81103896103896,341.00586505220116,180.0,[1]
83-34,2021,0024,5,50.62422077922078,50.6937012987013,51.285714285714285,344.5072150212852,179.75232989028194,[1]
83-34,2021,0025,5,50.60363636363637,51.003376623376624,51.42857142857143,342.01900486997386,179.2747182544322,[1]
84-40,2021,0028,2,19.160153738444613,19.160153738444613,19.160153738444613,316.0035601065279,359.72802840578703,[4]
84-40,2021,0029,4,19.599011479591837,19.599011479591837,19.853544096209912,315.0063491423625,179.6373733260375,"[3, 4]"
84-40,2021,0030,5,19.2721416012057,19.128065628425283,19.948849104859335,316.2661922370639,0.5880299107001008,[4]
84-40,2021,0031,3,20.886223642213096,20.886223642213096,21.102576075072886,309.7605019603287,179.53734896812045,"[3, 4]"
84-40,2021,0037,8,48.164702380952384,48.166666666666664,48.5,311.0,180.0,"[3, 4]"
