route,year,f5_a,f5_b,area_a_km2,area_b_km2,overlap_km2,pct_a,pct_b,bearing,dist_m,adjacent
84-40,2023,0132,0133,3.357705,3.011593,0.79509,23.679566846998174,26.400977821372276,89.45236693800553,719.303689208587,True
84-40,2023,0133,0134,3.011593,3.020575,0.753557,25.021873805657005,24.94746861110881,100.82682351792664,732.6668965157357,True
84-40,2023,0134,0135,3.020575,3.015241,0.712472,23.587297120581347,23.62902335169892,89.76983993442326,746.8185255845291,True
84-40,2023,0135,0136,3.015241,3.342008,0.642164,21.29726943882761,19.214915104930927,83.12784122561709,773.2917469911109,True
84-40,2023,0136,0137,3.342008,6.503341,0.798556,23.894496961108413,12.279165432044852,1.8161347472956209,22999.85895223071,True
84-40,2023,0137,0138,6.503341,6.564075,1.541773,23.707399012292296,23.488046678321012,85.10317192330899,740.3132371120312,True
84-40,2023,0138,0139,6.564075,3.24047,0.613289,9.343113843153834,18.92592741176434,1.9655745934138054,22942.832539845087,True
84-40,2023,0139,0140,3.24047,8.227891,0.882516,27.234197508386128,10.725907769074723,178.36507590205701,24890.178437094615,True
84-40,2023,0140,0141,8.227891,7.864378,1.61525,19.631397644912894,20.53881438557506,147.52308284099377,1434.31222192619,True
84-40,2023,0140,0206,8.227891,3.772189,3.61552,43.94224473805013,95.84673514503118,179.50842591791195,16058.656246990538,False
84-40,2023,0140,0207,8.227891,3.80177,0.667458,8.11213955070625,17.556506574569212,177.3482841270661,16077.162712048048,False
84-40,2023,0141,0142,7.864378,8.149519,1.700042,21.6169924690802,20.860642204773068,32.36360055854061,1417.1210559040348,True
84-40,2023,0141,0206,7.864378,3.772189,1.203861,15.307771320249357,31.914122012444235,182.43880665239055,14861.529184415971,False
84-40,2023,0141,0207,7.864378,3.80177,3.80177,48.34164888818925,100.0,180.10171909366008,14849.973936883327,False
84-40,2023,0141,0208,7.864378,3.768126,1.341657,17.059925146019175,35.60541765323134,177.7226403497441,14859.952000309988,False
84-40,2023,0142,0143,8.149519,8.191559,1.685993,20.68825166246008,20.582077233405755,156.85901424831593,1933.4796375913004,True
84-40,2023,0142,0207,8.149519,3.80177,0.432198,5.303355940393537,11.368336327552692,182.8003850958658,16066.133602642029,False
84-40,2023,0142,0208,8.149519,3.768126,3.428152,42.06569737428675,90.97763715969158,180.60018077146955,16046.092623882338,False
84-40,2023,0142,0209,8.149519,3.788871,2.030433,24.914758772879726,53.58939377983573,178.38256343763578,16063.936135813816,False
84-40,2023,0143,0144,8.191559,5.261397,1.106207,13.504230391308907,21.024967323317362,176.92871364723828,14304.59863557085,True
84-40,2023,0143,0209,8.191559,3.788871,2.759347,33.68524843683602,72.82768402513572,181.22933446446666,14282.910255630637,False
84-40,2023,0143,0210,8.191559,3.764753,2.625141,32.046903403857556,69.72943510503876,178.66820370344794,14277.303090245794,False
84-40,2023,0144,0146,5.261397,5.269625,1.091939,20.75378459371152,20.72137960481059,88.13604643011445,768.6066874547133,False
84-40,2023,0144,0210,5.261397,3.764753,2.131666,40.51520917353319,56.621669469418045,271.39801281410075,434.7117507364638,False
84-40,2023,0144,0211,5.261397,3.601032,3.141982,59.717637730055344,87.25226546167876,67.5692122157804,212.26605964732946,False
84-40,2023,0146,0148,5.269625,4.90146,0.893537,16.956367862988355,18.23001717855496,97.98038880892062,798.6919578092893,False
84-40,2023,0146,0211,5.269625,3.601032,1.403261,26.62923832341011,38.968301309180255,275.59099835556214,574.7278922048183,False
84-40,2023,0151,0152,3.303911,3.286156,0.749273,22.678365125452835,22.800895636117094,90.63692602304513,744.6571213619625,True
84-40,2023,0152,0153,3.286156,3.310016,0.609866,18.55864420313582,18.424865619984917,90.53867624414664,785.9236231072368,True
84-40,2023,0153,0154,3.310016,3.039805,0.704173,21.27400592625534,23.165071443727477,86.9945795313003,749.4057483729816,True
84-40,2023,0206,0207,3.772189,3.80177,0.822694,21.809458645894995,21.639762531662882,90.17796253801595,606.0323350915037,True
84-40,2023,0207,0208,3.80177,3.768126,0.771002,20.280080067968342,20.46115230753961,89.8388193356293,616.8553819849341,True
84-40,2023,0208,0209,3.768126,3.788871,0.753017,19.983859350775425,19.874442808952853,91.13595125811571,621.6221677009028,True
84-40,2023,0209,0210,3.788871,3.764753,0.669965,17.68244418983914,17.795722587909484,89.4455675710501,638.2945899535196,True
84-40,2023,0210,0211,3.764753,3.601032,0.673928,17.90098845794133,18.7148572964639,83.63287038940899,634.7036422712878,True
84-41,2021,0002,0003,1.943,2.030019,0.312841,16.100926402470407,15.410742461031154,38.02580721633842,1185.5745940497343,True
84-41,2021,0003,0004,2.030019,1.89958,0.2722,13.408741494537736,14.329483359479465,145.76808356633194,1334.4141062445294,True
84-41,2021,0016,0017,1.935239,1.945087,0.416314,21.51227832841318,21.403361392061125,99.18216035296302,706.0472914598906,True
84-41,2021,0017,0018,1.945087,1.658323,0.324843,16.700692565422525,19.58864467296178,76.11158902989285,745.7348530886386,True
84-41,2023,0113,0114,5.283104,5.313824,1.180952,22.35337407705773,22.224145925796563,89.74094969151162,759.3744282119796,True
84-41,2023,0114,0115,5.313824,4.989979,1.205805,22.69185053927266,24.164530552132582,82.29658873340026,754.1344685613859,True
84-41,2023,0115,0116,4.989979,4.989093,1.148714,23.020417520795178,23.024505656639395,90.93299379501383,752.3140262767291,True
84-41,2023,0116,0117,4.989093,5.279155,1.142174,22.893419705746116,21.635545840196016,91.99847102790159,756.217105879364,True
84-41,2023,0117,0118,5.279155,6.666819,1.199498,22.721401436404122,17.992058881454557,175.76855960215835,10099.702613157873,True
84-41,2023,0118,0119,6.666819,6.341982,1.534707,23.020078991195053,24.199169912497386,19.480706699939333,2221.1853770859248,True
84-42,2021,0031,0032,2.677562,2.681637,0.473911,17.699347391395605,17.67245156596512,79.79375307083768,909.5592644548161,True
84-42,2021,0032,0033,2.681637,2.282067,0.660716,24.638532359152265,28.952524180928958,98.98568441890296,798.3984281046712,True
85-45,2023,0024,0025,1.962456,2.287827,0.893566,45.53304634600725,39.057411246567156,82.10766381380171,581.2389221034548,True
85-45,2023,0025,0026,2.287827,4.564913,0.886974,38.76927757212412,19.430249820752334,2.12761091796699,16805.74919908495,True
85-45,2023,0026,0027,4.564913,4.121668,1.439701,31.53841048011211,34.93005744276346,13.013043076868655,2835.238066283408,True
85-45,2023,0027,0028,4.121668,2.315376,0.990083,24.021415601644772,42.76121891217668,2.3095950206970883,13987.209253294885,True
85-45,2023,0028,0029,2.315376,1.967911,0.752074,32.48172219112576,38.21687058002115,74.86188027573405,634.4974300183892,True
85-48,2023,0051,0052,1.644454,1.95062,0.619042,37.644227202463554,31.735653279470117,89.5846104613803,611.9446536519641,True
85-48,2023,0052,0053,1.95062,2.149808,0.741791,38.02847299832874,34.504988352448215,85.58427171493997,609.5092339966297,True
85-48,2023,0053,0054,2.149808,2.275553,0.818497,38.07302791691165,35.969146840350454,93.58952999366193,605.715574106335,True
