tile,route,label_E,label_N,rgb_E,rgb_N,dE,dN,in_contaminated_set
O2021_83_25_1_0015_00002817_7000_3000.tif,83-25,452316.0,6163274.0,452616.0,6161806.0,300.0,-1468.0,False
O2021_82_13_1_0024_00141749_5000_5000.tif,82-13,505719.0,6238016.0,505430.0,6238433.0,-289.0,417.0,False
O2021_82_21_1_0005_00001868_5000_8000.tif,82-21,496819.0,6220181.0,497320.0,6220055.0,501.0,-126.0,True
O2021_83_25_1_0025_00001593_9000_2000.tif,83-25,461006.0,6143606.0,461602.0,6143570.0,596.0,-36.0,False
O2023_84_40_1_0126_00090931_3000_5000.tif,84-40,711899.0,6188706.0,712204.0,6187882.0,305.0,-824.0,False
O2021_83_26_1_0013_00001594_3000_3000.tif,83-26,480309.0,6167152.0,479709.0,6167452.0,-600.0,300.0,False
O2023_82_24_1_0014_00000747_9000_12000.tif,82-24,711675.0,6188406.0,577854.0,6223808.0,-133821.0,35402.0,False
O2021_83_31_1_0039_00123154_0_4000.tif,83-31,491717.0,6103739.0,491017.0,6103923.0,-700.0,184.0,False
O2021_82_13_1_0026_00144908_2000_4000.tif,82-13,507158.0,6237786.0,506544.0,6237386.0,-614.0,-400.0,False
O2021_83_25_1_0015_00003911_1000_2000.tif,83-25,451924.0,6161965.0,452023.0,6162401.0,99.0,436.0,False
O2021_82_24_1_0025_00001380_10cm_8000_0.tif,82-24,577128.0,6227908.0,577610.0,6227587.0,482.0,-321.0,False
O2023_82_24_1_0011_00000391_14000_3000.tif,82-24,575051.0,6224198.0,574745.0,6224098.0,-306.0,-100.0,False
O2021_82_22_1_0030_00000261_8000_1000.tif,82-22,529701.0,6222952.0,529899.0,6222997.0,198.0,45.0,False
O2021_84_40_1_0044_00082849_2000_2000.tif,84-40,723983.0,6174964.0,723683.0,6175079.0,-300.0,115.0,False
O2023_82_24_1_0012_00000537_4000_2000.tif,82-24,575341.0,6221013.0,574941.0,6221939.0,-400.0,926.0,False
O2021_83_25_1_0026_00001209_3000_4000.tif,83-25,462469.0,6143522.0,461869.0,6143741.0,-600.0,219.0,False
O2021_83_31_1_0042_00092132_5000_4000.tif,83-31,493411.0,6103744.0,493708.0,6103305.0,297.0,-439.0,False
O2021_83_31_1_0043_00091125_8190_4000.tif,83-31,557857.0,6092687.0,494740.0,6103321.0,-63117.0,10634.0,False
O2021_82_16_1_0028_00005674_10cm_3000_3000.tif,82-16,577551.0,6230948.0,577552.0,6230132.0,1.0,-816.0,False
O2021_82_22_1_0033_00001038_0_3000.tif,82-22,531651.0,6222317.0,530951.0,6222517.0,-700.0,200.0,False
O2021_82_22_1_0030_00000262_6000_3000.tif,82-22,529496.0,6222905.0,529701.0,6222952.0,205.0,47.0,False
O2023_82_24_1_0012_00000541_3000_0.tif,82-24,575148.0,6223483.0,574848.0,6224383.0,-300.0,900.0,False
O2021_83_25_1_0024_00001856_7000_7000.tif,83-25,460026.0,6141823.0,460524.0,6141743.0,498.0,-80.0,False
