cell,route,fold,n_contam,n_clean,acc_contam,acc_clean,d_acc,miou_contam,miou_clean,d_miou,n_macro_contam,n_macro_clean,iou_contam_asfalt,iou_clean_asfalt,d_asfalt,iou_contam_fliser,iou_clean_fliser,d_fliser,iou_contam_grus,iou_clean_grus,d_grus,iou_contam_ubefestet,iou_clean_ubefestet,d_ubefestet,iou_contam_green_roof,iou_clean_green_roof,d_green_roof,iou_contam_drivhus,iou_clean_drivhus,d_drivhus,iou_contam_betonflade,iou_clean_betonflade,d_betonflade,iou_contam_brosten,iou_clean_brosten,d_brosten,iou_contam_solceller,iou_clean_solceller,d_solceller
segformer_b1_rgb,84-41,2,61,282,0.9934386304622157,0.9209001024200585,0.07253852804215721,0.9613058144306773,0.33653763165227524,0.6247681827784021,2,5,0.9297685225991744,0.3567492310560164,0.573019291543158,0.0,0.0,0.0,0.0,0.02046438162974365,-0.02046438162974365,0.9928431062621802,0.9204419849651007,0.07240112129707954,,,,0.0,0.0,0.0,,0.0,,,0.0,,,0.3850325606105156,
segformer_b1_rgb,85-45,2,173,228,0.9642005199190229,0.8360103171116482,0.1281902028073747,0.9336941288454991,0.7263330485145019,0.2073610803309972,3,2,,,,,,,0.941621204629434,0.0,0.941621204629434,0.9288170812967524,0.6120155337711155,0.31680154752563694,,,,0.0,0.0,0.0,,0.0,,,,,0.9306441006103109,0.8406505632578882,0.08999353735242266
segformer_b1_rgb_unw,82-20,2,522,86,0.7950152858358978,0.7322557492180237,0.06275953661787403,0.24979201384013122,0.26892434701348716,-0.019132333173355942,8,7,0.477299472668786,0.4913781007728654,-0.01407862810407945,0.2683733492261866,0.26786325750893014,0.0005100917172564667,0.34582207676812926,0.2503323485342136,0.09548972823391566,0.905893801646406,0.8728967222784009,0.03299707936800511,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009474104115417858,0.0,0.0009474104115417858
segformer_b1_rgb_unw,84-40,0,62,600,0.9868711563535573,0.8122826059285775,0.17458855042497978,0.6229242569438042,0.225472882657492,0.39745137428631216,3,9,0.8829830460603246,0.5479537268845708,0.33502931917575385,,0.15922281530340676,,0.0,0.3125411703142107,-0.3125411703142107,0.9857897247710876,0.9039574209918054,0.08183230377928219,,0.0,,,0.006164931945556445,,0.0,0.005118327991864366,-0.005118327991864366,,0.07484345866137371,,,0.019454091824639638,
segformer_b1_rgb_unw,84-41,2,61,282,0.9912452789691981,0.959979335354292,0.03126594361490609,0.9477844029765146,0.3111683402803444,0.6366160626961701,2,5,0.9050968470222663,0.1717977506499068,0.7332990963723596,0.0,0.0006594328877165637,-0.0006594328877165637,0.0,0.059626306876087734,-0.059626306876087734,0.9904719589307629,0.9599441741172969,0.030527784813465964,,,,,,,,0.0,,,0.0,,,0.36381403687071423,
segformer_b1_rgb_unw,85-45,2,173,228,0.9691273476177832,0.8332810822765012,0.13584626534128197,0.95002294484919,0.7337286565097938,0.21629428833939623,3,2,0.0,,,,,,0.9730491675843752,0.0,0.9730491675843752,0.9421495687633015,0.6129218460708756,0.32922772269242584,,,,,,,,,,0.0,,,0.9348700981998933,0.8545354669487121,0.08033463125118123
swin_upernet_10ch,82-20,2,522,86,0.8493690582253143,0.7540453596567717,0.09532369856854261,0.30900503631651455,0.2990450432599166,0.009959993056597949,8,7,0.6616347993741996,0.5458436866628025,0.11579111271139708,0.3176168512040798,0.2638954824706123,0.0537213687334675,0.4022044447900174,0.287844872938352,0.1143595718516654,0.9045756545961231,0.8715557990062247,0.033019855589898395,,,,0.18600854056769656,0.1241754617414248,0.06183307882627176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swin_upernet_10ch,84-40,0,62,600,0.9855860597107509,0.7893132624902125,0.19627279722053836,0.6209263554714618,0.2126445127897012,0.4082818426817606,3,9,0.8708467022392254,0.5080997669818819,0.3627469352573436,0.0,0.17365841704153206,-0.17365841704153206,0.0,0.19257730704241618,-0.19257730704241618,0.99193236417516,0.8521432664155145,0.13978909775964543,,0.0,,,0.07201343690951081,,0.0,0.03687495269656392,-0.03687495269656392,,0.018786858659814866,,,0.05964660936007641,
swin_upernet_10ch,84-41,2,61,282,0.9940452976960235,0.9481143373289632,0.045930960367060236,0.9643671211484185,0.41053001817838497,0.5538371029700335,2,5,0.9349054293302235,0.19206065073181006,0.7428447785984134,0.0,0.0,0.0,0.0,0.03642491088608476,-0.03642491088608476,0.9938288129666135,0.9474034546230985,0.04642535834351502,,,,,,,,0.0,,,0.0,,0.0,0.8767610746509318,-0.8767610746509318
swin_upernet_10ch,85-45,2,173,228,0.9772644734650713,0.9446829409324483,0.03258153253262297,0.9662540132797472,0.8958551445387228,0.07039886874102441,3,2,,,,,,,0.9967208208972854,0.0,0.9967208208972854,0.9525285873135871,0.8732365931444239,0.07929199416916322,,,,,,,,,,,,,0.949512631628369,0.9184736959330217,0.031038935695347214
